customer_id,nombre,apellido,cedula,fecha_nacimiento,email,direccion,telefono,fecha_creacion,estado_cliente
Cus020,Ildefonso,Pou,3053674606,26-08-1948,i.pou@hotmail.com,"Calle Abella y Pasaje Rey, Santa Cruz de Tenerife",0947231958,19/04/2026 14:22:21,Activo
Cus021,Roberta,Solera,1902548591,22-06-1974,solera.roberta@hotmail.com,"Pasaje Barberá y Pasaje Guijarro, Ceuta",0914035339,02/09/2024 14:22:21,Inactivo
Cus022,Bernabé,Avilés,1215119023,03-07-1979,bernabeaviles@gmail.com,"Pasaje Pellicer y Pasaje Luján, León",0965682242,19/04/2026 14:22:21,Activo
Cus023,Nieves,Zorrilla,1744593458,25-06-1979,nieves_zorrilla@hotmail.com,"Calle Piquer y Pasaje Baena, Sevilla",0938963097,19/04/2026 14:22:21,Activo
Cus024,Abigaíl,Pina,2134485941,25-12-1959,abigail.pina@hotmail.com,"Pasaje Arranz y Calle Pol, Jaén",0989250934,04/05/2024 14:22:21,Inactivo
Cus025,Bernabé,Blanco,1256235514,10-11-1950,b.blanco@yahoo.com,"Pasaje Larrañaga y Pasaje Bilbao, Jaén",0999419318,19/04/2026 14:22:21,Activo
Cus026,Nacio,Gimeno,2104294240,31-05-1987,naciogimeno@gmail.com,"Av. Ramos y Av. Mosquera, Sevilla",0918302927,19/04/2026 14:22:21,Activo
Cus027,Bonifacio,Recio,1642885303,24-08-2000,bonifaciorecio@hotmail.com,"Calle Cabezas y Pasaje Cerdá, Ávila",,19/04/2026 14:22:21,Activo
Cus028,Loreto,Alba,2304646447,07-12-1967,loretoalba@gmail.com,"Pasaje Mercader y Calle Lobato, Salamanca",0989683963,30/11/2024 14:22:21,Inactivo
Cus029,Clara,Nieto,0734556632,24-12-1943,c.nieto@yahoo.com,"Pasaje Landa y Calle Pizarro, Albacete",0960712821,19/04/2026 14:22:21,Activo
Cus030,Horacio,Carro,2223991148,30-09-1973,carro.horacio@gmail.com,"Calle Arteaga y Av. Torrijos, Salamanca",0921178499,19/04/2026 14:22:21,Activo
Cus031,Sergio,Nicolau,0937979243,23-12-2000,sergionicolau@yahoo.com,"Av. Sainz y Calle Valverde, Cuenca",0954000030,19/01/2025 14:22:21,Inactivo
Cus032,Lalo,Albero,0411712433,16-07-2007,l.albero@yahoo.com,"Calle Paniagua y Pasaje Casas, Murcia",0927954923,19/04/2026 14:22:21,Activo
Cus033,Lorenzo,Guzman,0617910344,03-04-1955,lorenzoguzman@hotmail.com,"Pasaje Bárcena y Calle Diéguez, Melilla",0991594858,19/04/2026 14:22:21,Activo
Cus034,María,Solana,1745934461,06-02-1949,mariasolana@gmail.com,"Pasaje Berrocal y Av. Vendrell, Huelva",0994054680,19/04/2026 14:22:21,Activo
Cus035,Guillermo,Viña,0349538579,03-12-2000,guillermo.vina@yahoo.com,"Av. Chico y Pasaje Revilla, Valladolid",0951721634,19/04/2026 14:22:21,Activo
Cus036,Renata,Zabala,0925700114,13-05-1952,renatazabala@yahoo.com,"Pasaje Corral y Calle Rey, La Coruña",0963609733,22/05/2025 14:22:21,Inactivo
Cus037,Galo,Jaume,2420132793,02-02-1988,galo.jaume@hotmail.com,"Av. Alsina y Av. Pablo, Badajoz",0922967002,23/09/2024 14:22:21,Inactivo
Cus038,Pili,Gutiérrez,1955488257,11-06-1964,pili.gutierrez@hotmail.com,"Pasaje Valero y Calle Zamora, Huelva",0984228251,19/04/2026 14:22:21,Activo
Cus039,Eloy,Paz,2200621635,19-09-1968,eloypaz@gmail.com,"Calle Nogués y Calle Marin, Cáceres",0946550015,14/11/2024 14:22:21,Inactivo
Cus040,Caridad,Mascaró,1130103581,28-02-1971,caridad_mascaro@gmail.com,"Av. Machado y Calle Talavera, Guipúzcoa",0981809004,19/04/2026 14:22:21,Activo
Cus041,Custodia,Maestre,1652694306,15-04-1942,custodia.maestre@yahoo.com,"Av. Cabañas y Pasaje Dávila, Vizcaya",0991409641,19/02/2025 14:22:21,Inactivo
Cus042,Custodio,Pozuelo,0434362729,02-08-1939,c.pozuelo@yahoo.com,"Av. Lopez y Av. Luís, Cádiz",0987575116,24/04/2024 14:22:21,Inactivo
Cus043,Pepita,Riera,1244450126,03-12-1990,pepitariera@yahoo.com,"Calle Clavero y Av. Salom, Jaén",0965327150,27/10/2024 14:22:21,Inactivo
Cus044,Esmeralda,Vidal,2409827850,08-06-1940,esmeraldavidal@hotmail.com,"Calle Pizarro y Pasaje Cobo, Badajoz",0930605637,19/04/2026 14:22:21,Activo
Cus045,León,Carreño,1352750705,01-12-1972,carreno.leon@yahoo.com,"Calle Botella y Pasaje Martorell, Asturias",0996795313,07/04/2025 14:22:21,Inactivo
Cus046,Maricruz,Contreras,1925275859,18-07-1976,maricruz.contreras@gmail.com,"Av. Esparza y Av. Luz, Alicante",0989669969,19/04/2026 14:22:21,Activo
Cus047,Celestino,Abella,1910862133,23-07-1944,c.abella@yahoo.com,"Calle Gómez y Av. Sanabria, Cádiz",0959127448,30/04/2024 14:22:21,Inactivo
Cus048,Angélica,Vaquero,1444093791,11-08-1977,angelica_vaquero@hotmail.com,"Pasaje Lobato y Av. Palau, Segovia",0931284113,19/04/2026 14:22:21,Activo
Cus049,Ignacia,Barbero,2208752689,22-09-1982,i.barbero@yahoo.com,"Pasaje Expósito y Pasaje Rius, Madrid",0981391475,05/09/2025 14:22:21,9
Cus050,Bibiana,Cantero,1604799260,19-04-2026,bibianacantero@hotmail.com,"Pasaje Donaire y Calle Solana, Huelva",0966647028,19/04/2026 14:22:21,Activo
Cus051,José,Perera,1119281309,05-09-1992,perera.jose@gmail.com,"Av. Noriega y Pasaje Prats, Girona",0962788696,19/04/2026 14:22:21,Activo
Cus052,Odalys,Gimeno,3019707060,14-10-1982,odalys.gimeno@gmail.com,"Av. Castells y Calle Abril, León",0959493205,06/01/2025 14:22:21,Inactivo
Cus053,María,León,2457925424,23-04-1952,m.leon@yahoo.com,"Pasaje Osorio y Calle Lledó, Ávila",0961147440,19/04/2026 14:22:21,Activo
Cus054,Celestina,Garriga,0356844340,07-12-1963,celestina.garriga@yahoo.com,"Calle Múgica y Av. Samper, Ciudad",0945861041,24/05/2025 14:22:21,9
Cus055,Glauco,Rosa,2430646840,17-08-1981,glauco_rosa@hotmail.com,"Av. Gomez y Av. Romeu, Barcelona",0912968200,19/04/2026 14:22:21,Activo
Cus056,Maite,Mesa,1452776675,26-04-1951,maite_mesa@yahoo.com,"Av. Martorell y Av. Pedro, Madrid",0921018550,19/04/2026 14:22:21,Activo
Cus057,Haydée,Villalobos,1352920951,28-04-1969,villalobos.haydee@gmail.com,"Calle Duque y Pasaje Soler, Guipúzcoa",0965194080,19/04/2026 14:22:21,Activo
Cus058,Hernando,Niño,2133238333,28-04-1963,hernandonino@hotmail.com,"Pasaje Julián y Calle Borrás, Madrid",0957933432,19/04/2026 14:22:21,Activo
Cus059,Ignacio,Seco,0453804866,05-04-1981,seco.ignacio@gmail.com,"Calle Mateu y Calle Durán, Palencia",0976288701,22/08/2025 14:22:21,Inactivo
Cus060,Teresita,Cuesta,1447044627,11-10-1949,teresitacuesta@hotmail.com,"Av. Dalmau y Calle Valera, Ceuta",0955676333,19/04/2026 14:22:21,Activo
Cus061,María,Macías,1810881563,21-11-1990,maria_macias@hotmail.com,"Calle Talavera y Pasaje Tomé, Jaén",0935544186,30/09/2024 14:22:21,Inactivo
Cus062,Marco,Vaquero,1619537028,09-02-1996,vaquero.marco@hotmail.com,"Av. Riba y Av. Rosell, Jaén",0969809401,07/03/2025 14:22:21,Inactivo
Cus063,Juan,Acuña,1231141522,05-12-1947,juanacuna@yahoo.com,"Pasaje Tamayo y Calle Baquero, Ciudad",0946770180,21/06/2024 14:22:21,Inactivo
Cus064,Maximino,Zabaleta,0117241786,16-08-2000,maximinozabaleta@hotmail.com,"Av. Ureña y Calle Rivas, Valencia",0954799225,19/04/2026 14:22:21,Activo
Cus065,Onofre,Rosado,0820403053,23-03-1987,rosado.onofre@yahoo.com,"Calle Grau y Pasaje Anguita, Ceuta",0940091119,28/01/2025 14:22:21,Inactivo
Cus066,Samu,Calderon,1954556534,10-01-1991,calderon.samu@hotmail.com,"Pasaje Anaya y Calle Falcó, Santa Cruz de Tenerife",0943777597,14/05/2024 14:22:21,Inactivo
Cus067,Encarna,Pinto,1426221238,24-08-2007,e.pinto@yahoo.com,"Pasaje Salamanca y Pasaje Guerra, Navarra",0912372621,07/10/2024 14:22:21,Inactivo
Cus068,Angelita,Soria,1316019445,04-09-1947,a.soria@yahoo.com,"Pasaje Gargallo y Av. Chico, Vizcaya",0955836018,19/04/2026 14:22:21,Activo
Cus069,Jacobo,Carnero,1816303117,17-10-1948,jacobo_carnero@yahoo.com,"Pasaje Monreal y Calle Morata, Santa Cruz de Tenerife",0922018889,19/04/2026 14:22:21,Activo
Cus070,Calixta,Castrillo,0952806362,09-08-1964,castrillo.calixta@yahoo.com,"Pasaje López y Pasaje Castañeda, Palencia",0985775781,19/04/2026 14:22:21,Activo
Cus071,Laura,Sedano,1112887623,19-10-1946,laura_sedano@yahoo.com,"Pasaje Cabo y Pasaje Leiva, Álava",0933280938,28/02/2025 14:22:21,Inactivo
Cus072,Isa,Navarro,1552307116,23-03-1956,navarro.isa@hotmail.com,"Pasaje Gómez y Av. Bautista, Alicante",0977007902,19/04/2026 14:22:21,Activo
Cus073,Roque,Olivera,2303201111,05-08-1987,roque_olivera@gmail.com,"Pasaje Cerdán y Calle Posada, Tarragona",0974989999,19/04/2026 14:22:21,Activo
Cus074,Corona,Díaz,0115371031,13-01-1981,coronadiaz@hotmail.com,"Pasaje Pizarro y Calle Blázquez, Segovia",0967999452,27/09/2024 14:22:21,Inactivo
Cus075,Álvaro,Morera,0922974886,06-02-1974,alvaro_morera@hotmail.com,"Av. Pereira y Calle Somoza, Palencia",0983022460,19/04/2026 14:22:21,Activo
Cus076,Florencio,Nebot,0900441726,13-05-1964,nebot.florencio@gmail.com,"Calle Vergara y Pasaje Llano, Cáceres",0980311535,23/08/2025 14:22:21,Inactivo
Cus077,Chelo,Vega,1149901405,23-03-1947,vega.chelo@gmail.com,"Pasaje Valenciano y Calle Duran, Ceuta",0967908109,15/08/2024 14:22:21,Inactivo
Cus078,Noelia,Morell,1423272358,26-10-1941,noelia.morell@gmail.com,"Calle Alcalde y Av. Silva, León",0963981883,25/02/2025 14:22:21,Inactivo
Cus079,Primitiva,Patiño,0942770348,24-07-1961,primitiva.patino@hotmail.com,"Pasaje Aller y Pasaje Carrillo, Cantabria",0935484738,19/04/2026 14:22:21,Activo
Cus080,Moreno,Niño,1008092023,22-09-1976,m.nino@hotmail.com,"Av. Osuna y Calle Leal, Castellón",0984564506,24/09/2024 14:22:21,Inactivo
Cus081,Angelino,Tejada,0204718829,02-02-1989,tejada.angelino@gmail.com,"Pasaje Gargallo y Pasaje Niño, Pontevedra",0956877435,09/01/2025 14:22:21,Inactivo
Cus082,Gema,Cabañas,0811755594,15-11-1997,gema_cabanas@hotmail.com,"Calle Giner y Calle Salvà, Burgos",0913499655,19/04/2026 14:22:21,Activo
Cus083,Bibiana,Girón,3054003896,20-12-1966,bibiana_giron@gmail.com,"Av. Morata y Av. Requena, Barcelona",0989515230,19/04/2026 14:22:21,Activo
Cus084,Jennifer,Higueras,0654795509,13-03-1941,jennifer.higueras@hotmail.com,"Calle Pascual y Pasaje Moraleda, Cádiz",0988905331,04/06/2024 14:22:21,Inactivo
Cus085,Berta,Álvarez,2433543895,12-12-2007,berta_alvarez@yahoo.com,"Pasaje Ferrán y Av. Escamilla, Ceuta",0919014465,19/04/2026 14:22:21,Activo
Cus086,Bárbara,Clavero,1620477891,14-02-2004,b.clavero@gmail.com,"Calle Baquero y Av. Murillo, Madrid",0928270540,19/04/2026 14:22:21,Activo
Cus087,Montserrat,Cáceres,0941008658,08-12-1945,montserratcaceres@yahoo.com,"Av. Téllez y Pasaje Cervantes, Madrid",0996021885,08/08/2025 14:22:21,Inactivo
Cus088,María,Salinas,2425094022,19-07-1992,m.salinas@yahoo.com,"Calle Conesa y Pasaje Zamorano, Ciudad",0960148653,23/07/2025 14:22:21,Inactivo
Cus089,José,Iñiguez,0922943832,06-05-1956,iniguez.jose@yahoo.com,"Calle Chaparro y Av. Calderon, Baleares",0978402849,14/09/2024 14:22:21,Inactivo
Cus090,Xiomara,Ródenas,1420730341,11-06-1993,xiomararodenas@gmail.com,"Pasaje Ramis y Pasaje Arribas, Almería",0911692021,06/10/2025 14:22:21,Inactivo
Cus091,Malena,Hidalgo,2059861944,16-07-1961,malenahidalgo@gmail.com,"Pasaje Alonso y Calle Guillen, Zamora",0940984060,24/04/2025 14:22:21,Inactivo
Cus092,Anna,Barrio,1743099424,17-10-1940,anna.barrio@hotmail.com,"Pasaje Figueroa y Calle Goñi, Zaragoza",0916363367,31/03/2025 14:22:21,Inactivo
Cus093,Paco,Marin,3038296749,20-05-1941,paco.marin@gmail.com,"Av. Godoy y Calle Llanos, Cáceres",0936274857,10/10/2024 14:22:21,Inactivo
Cus094,Fortunato,Font,0523053387,01-12-1949,fortunato_font@hotmail.com,"Pasaje Salom y Pasaje Pi, Ourense",0945962027,04/11/2024 14:22:21,Inactivo
Cus095,Fabián,Gual,1001836392,28-12-2004,f.gual@yahoo.com,"Av. Serra y Pasaje Vargas, Ourense",0938764103,24/03/2025 14:22:21,Inactivo
Cus096,Ángela,Benitez,1435220270,05-01-1954,angela.benitez@yahoo.com,"Pasaje Bauzà y Av. Arnaiz, Valladolid",0988763570,05/09/2025 14:22:21,Inactivo
Cus097,Eutropio,Franch,0535453047,02-11-1994,eutropiofranch@gmail.com,"Av. Planas y Av. Rivera, Córdoba",0995952440,27/08/2025 14:22:21,Inactivo
Cus098,Chus,Gelabert,1320847401,12-04-1948,chus.gelabert@gmail.com,"Av. Gibert y Pasaje Sans, Ciudad",0942933417,23/08/2024 14:22:21,Inactivo
Cus099,Julieta,García,0107799603,04-10-1961,julieta.garcia@yahoo.com,"Av. Murillo y Pasaje Rebollo, Cáceres",0999764008,22/11/2024 14:22:21,Inactivo
Cus100,Severo,Borrego,0217684992,01-05-1941,borrego.severo@gmail.com,"Calle Hoyos y Av. Requena, Asturias",0982273597,01/04/2025 14:22:21,Inactivo
